first_name,last_name,father_name,mother_name,dob,aadhar_number,pan_number,address,email,phone
Upma,Chaudhuri,Udyati Keer,Ganga Barman,11-05-1956,4441000000000,WCAPU4396T,"75, Ben Road, Jalna-286341",darpanbarman@example.org,3803277900
Advika,Pandya,Neha Raval,Falak Nagarajan,15-08-1994,1.02533E+11,SQRKE7213I,"823, Sachar Zila, Pimpri-Chinchwad 313991",borramugdha@example.org,7565161414
Zaitra,Dar,Onveer Trivedi,Jyoti Soni,05-02-1952,43016173018,GHZCO1416T,"82, Ramanathan Marg, Nizamabad 930461",groverdaniel@example.com,4042618113
Tejas,Shroff,Sudiksha Morar,Anjali Narula,25-05-1958,3.34917E+11,MQSRH0731B,"425, Sarin Street, Raichur-661998",vigjanuja@example.org,8447170122
Umang,Mital,Ranbir Ranganathan,Bhavani Tank,11-06-1966,7.45727E+11,GGFJS3062O,"H.No. 63, Mannan Marg, Shimla-082054",kala34@example.com,8818676860
Nachiket,Narasimhan,Nimrat Lata,Upasna Sridhar,21-06-1963,91426808744,SHLDL9440W,"H.No. 690, Patel, Coimbatore 251001",isaacrao@example.net,6787633072
Devika,Bobal,Zilmil Nadig,Urishilla Om,19-04-1969,7.69314E+11,AKIZR0041R,"H.No. 89, Garde Circle, Kamarhati 002865",ladshravya@example.com,819103834
Chandran,Pall,Meera Bhargava,Madhavi Menon,09-09-1966,6.03987E+11,IGXRW9681U,"13/79, Rout Marg, Kumbakonam-977596",xacharya@example.net,9824035487
Alexander,Kara,Akshay Bansal,Kamala Tak,26-06-1962,3.66501E+11,QZBYH4569B,"17/07, Chauhan Nagar, Raiganj 736529",radhika44@example.com,5097077795
Divya,Sahota,Urishilla Bajaj,Darsh Behl,05-09-1947,6.98511E+11,ZYXOQ1925C,"283, Mallick Zila, Secunderabad-530760",sundaramkrish@example.net,6439102156
Sudiksha,Goyal,Ijaya Badami,Umang Sen,13-03-1968,4.521E+11,YVTSJ1114W,"38, Mohanty Circle, Guwahati 144084",ishanikhalsa@example.com,5794328947
Gavin,Bhatia,Vamakshi Loyal,Tarak Nigam,21-04-2003,5.89516E+11,WNFNL4713N,"59/416, Banik Nagar, Bulandshahr-552106",kvenkataraman@example.com,6692461602
